Week,Day,Date,,,OT,,Opp,Tm,Opp,Cmp,Att,Yds,TD,Int,Sk,Yds,Y/A,NY/A,Cmp%,Rate,Att,Yds,Y/A,TD,FGM,FGA,XPM,XPA,Pnt,Yds,3DConv,3DAtt,4DConv,4DAtt,ToP
1,Sun,September 11,boxscore,T,OT,@,Houston Texans,20,20,32,50,340,1,1,2,12,7.0,6.5,64.0,82.1,38,177,4.7,1,2,3,2,2,4,179,6,15,0,1,39:37
2,Sun,September 18,boxscore,L,,@,Jacksonville Jaguars,0,24,16,30,164,0,3,5,31,6.5,4.7,53.3,29.7,13,54,4.2,0,0,0,0,0,5,227,2,10,0,2,21:45
3,Sun,September 25,boxscore,W,,,Kansas City Chiefs,20,17,27,37,177,2,0,5,45,6.0,4.2,73.0,100.8,27,82,3.0,0,2,2,2,2,3,154,6,15,1,3,33:32
4,Sun,October 2,boxscore,L,,,Tennessee Titans,17,24,27,37,327,2,1,3,29,9.6,8.2,73.0,106.5,23,38,1.7,0,1,2,2,2,2,67,7,13,0,0,33:57
5,Thu,October 6,boxscore,W,OT,@,Denver Broncos,12,9,26,41,200,0,2,6,51,6.1,4.3,63.4,54.9,26,106,4.1,0,4,4,0,0,7,310,4,16,0,0,34:48
6,Sun,October 16,boxscore,W,,,Jacksonville Jaguars,34,27,42,58,389,3,0,0,0,6.7,6.7,72.4,107.6,16,45,2.8,1,2,2,2,2,3,110,10,15,0,0,28:49
7,Sun,October 23,boxscore,L,,@,Tennessee Titans,10,19,33,44,227,1,2,3,16,5.5,4.8,75.0,74.7,17,65,3.8,0,1,1,1,1,5,176,4,13,1,1,28:27
8,Sun,October 30,boxscore,L,,,Washington Commanders,16,17,17,23,189,0,0,2,12,8.7,7.6,73.9,97.9,29,135,4.7,1,3,3,1,1,4,227,5,12,0,0,29:20
9,Sun,November 6,boxscore,L,,@,New England Patriots,3,26,15,29,43,0,1,9,60,3.6,1.1,51.7,43.3,22,78,3.5,0,1,2,0,0,9,348,0,14,0,2,28:54
10,Sun,November 13,boxscore,W,,@,Las Vegas Raiders,25,20,21,28,208,1,0,1,14,7.9,7.2,75.0,107.4,30,207,6.9,2,2,3,1,1,3,143,6,11,0,0,29:01
11,Sun,November 20,boxscore,L,,,Philadelphia Eagles,16,17,23,32,185,0,0,4,28,6.7,5.1,71.9,86.1,26,99,3.8,1,3,4,1,1,4,208,5,15,0,1,30:38
12,Mon,November 28,boxscore,L,,,Pittsburgh Steelers,17,24,22,34,180,1,1,3,19,5.9,4.9,64.7,75.6,25,110,4.4,1,1,2,2,2,3,150,3,12,2,3,25:38
13,Sun,December 4,boxscore,L,,@,Dallas Cowboys,19,54,21,37,203,2,3,3,30,6.3,5.1,56.8,56.5,30,106,3.5,0,2,2,1,1,3,119,4,13,3,3,31:19
15,Sat,December 17,boxscore,L,OT,@,Minnesota Vikings,36,39,19,33,170,1,0,3,12,5.5,4.7,57.6,81.6,43,171,4.0,0,5,5,3,3,7,305,6,19,0,1,36:37
16,Mon,December 26,boxscore,L,,,Los Angeles Chargers,3,20,17,29,104,0,3,7,39,4.9,2.9,58.6,26.3,14,69,4.9,0,1,1,0,0,3,146,0,10,1,4,26:06
17,Sun,January 1,boxscore,L,,@,New York Giants,10,38,17,27,124,1,1,2,17,5.2,4.3,63.0,70.6,27,128,4.7,0,1,2,1,1,4,147,3,12,2,2,28:24
18,Sun,January 8,boxscore,L,,,Houston Texans,31,32,23,35,202,2,2,2,7,6.0,5.5,65.7,76.1,33,196,5.9,1,1,1,4,4,2,117,4,13,2,3,33:53