Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 11,4:25PM ET,boxscore,L,,0-1,@,Minnesota Vikings,7,23,21,338,227,111,2,19,395,269,126,,-1.89,-9.99,-1.12
2,Sun,September 18,8:20PM ET,boxscore,W,,1-1,,Chicago Bears,27,10,26,414,211,203,1,11,228,48,180,1,16.87,4.40,-1.71
3,Sun,September 25,4:25PM ET,boxscore,W,,2-1,@,Tampa Bay Buccaneers,14,12,14,315,248,67,2,19,285,251,34,2,-4.08,9.14,-0.30
4,Sun,October 2,4:25PM ET,boxscore,W,OT,3-1,,New England Patriots,27,24,24,443,244,199,2,17,271,104,167,1,5.17,2.00,-2.64
5,Sun,October 9,9:30AM ET,boxscore,L,,3-2,,New York Giants,22,27,22,301,207,94,,24,338,213,125,,5.67,-16.07,4.63
6,Sun,October 16,1:00PM ET,boxscore,L,,3-3,,New York Jets,10,27,15,278,218,60,1,14,278,99,179,,-16.24,2.59,-4.32
7,Sun,October 23,1:00PM ET,boxscore,L,,3-4,@,Washington Commanders,21,23,16,232,194,38,1,22,364,198,166,1,1.83,-0.70,-0.57
8,Sun,October 30,8:20PM ET,boxscore,L,,3-5,@,Buffalo Bills,17,27,21,398,190,208,1,20,369,216,153,2,5.55,-12.79,-4.01
9,Sun,November 6,1:00PM ET,boxscore,L,,3-6,@,Detroit Lions,9,15,19,389,283,106,3,19,254,137,117,1,-5.25,1.35,-2.44
10,Sun,November 13,4:25PM ET,boxscore,W,OT,4-6,,Dallas Cowboys,31,28,20,415,208,207,2,24,421,262,159,2,17.21,-2.81,-10.13
11,Thu,November 17,8:15PM ET,boxscore,L,,4-7,,Tennessee Titans,17,27,15,271,215,56,,21,408,320,88,1,-0.61,-15.39,2.77
12,Sun,November 27,8:20PM ET,boxscore,L,,4-8,@,Philadelphia Eagles,33,40,19,342,236,106,2,29,500,137,363,1,11.56,-20.82,-0.51
13,Sun,December 4,1:00PM ET,boxscore,W,,5-8,@,Chicago Bears,28,19,21,357,182,175,,15,409,254,155,3,13.69,-7.73,-0.33
15,Mon,December 19,8:15PM ET,boxscore,W,,6-8,,Los Angeles Rams,24,12,27,345,207,138,2,13,156,84,72,1,13.03,1.29,0.81
16,Sun,December 25,1:00PM ET,boxscore,W,,7-8,@,Miami Dolphins,26,20,17,301,222,79,1,15,376,294,82,4,-3.46,2.13,6.52
17,Sun,January 1,4:25PM ET,boxscore,W,,8-8,,Minnesota Vikings,41,17,20,315,152,163,,18,346,244,102,4,9.54,10.20,4.19
18,Sun,January 8,8:20PM ET,boxscore,L,,8-9,,Detroit Lions,16,20,17,291,188,103,2,21,323,219,104,,0.31,-10.66,1.59